,index,projectId,name,difficulty,priority,percentMapped,percentValidated,status,lastUpdated,dueDate,country,organisationName,creation_date,totalArea,totalContributors,author,creation_date_datetime,concat,duplicated
27,600,18607,Ngazun Township - Settlement Areas for Emergency basemaps,MODERATE,MEDIUM,100,100,PUBLISHED,2025-04-15 13:28:56,2025-04-29 17:00:00,['Myanmar'],myOSM,2025-04-03 8:17:57,960.177,6,Kyaw Zayar Linn,2025-04-03 8:17:57,Ngazun Township - Settlement Areas for Emergency basemapsmyOSMKyaw Zayar Linn['Myanmar'],FALSE
28,663,14884,Honduras- Copan South 2,EASY,LOW,100,100,PUBLISHED,2023-08-01 8:27:35,,['Honduras'],HOT,2023-05-23 10:51:21,26.804,29,Becky Candy,2023-05-23 10:51:21,Honduras- Copan South 2HOTBecky Candy['Honduras'],FALSE
30,683,15034,Honduras-Francisco Morazan North 7,EASY,LOW,100,99,PUBLISHED,2025-03-30 14:57:56,,['Honduras'],HOT,2023-07-03 8:53:49,2.912,46,Becky Candy,2023-07-03 8:53:49,Honduras-Francisco Morazan North 7HOTBecky Candy['Honduras'],FALSE
41,806,15306,Honduras-La Paz 8,EASY,LOW,100,99,PUBLISHED,2025-04-09 19:27:42,,['Honduras'],HOT,2023-08-01 9:09:13,2.049,218,Becky Candy,2023-08-01 9:09:13,Honduras-La Paz 8HOTBecky Candy['Honduras'],FALSE
42,1082,16972,"Mapping of roads, river, residential area and buildings in district Maroantsetra, Analanjirofo",EASY,LOW,100,100,PUBLISHED,2025-03-19 6:31:01,,['Madagascar'],OSM Madagascar,2024-06-14 8:31:54,2410.472,52,Brice Ramamonjy,2024-06-14 8:31:54,"Mapping of roads, river, residential area and buildings in district Maroantsetra, AnalanjirofoOSM MadagascarBrice Ramamonjy['Madagascar']",FALSE
43,1086,17074,"Buildings in San Juan de Amara, Meta Province - Colombia 12",EASY,LOW,100,100,PUBLISHED,2025-03-04 18:41:25,,['Colombia'],HOT,2024-06-27 11:24:11,41.23,25,Nicolelaine,2024-06-27 11:24:11,"Buildings in San Juan de Amara, Meta Province - Colombia 12HOTNicolelaine['Colombia']",FALSE
44,1088,17143,"Buildings in Mocoa, Putumayo Province - Colombia 2",EASY,LOW,100,100,PUBLISHED,2025-03-05 15:01:57,,['Colombia'],HOT,2024-07-10 9:59:03,101.567,78,Nicolelaine,2024-07-10 9:59:03,"Buildings in Mocoa, Putumayo Province - Colombia 2HOTNicolelaine['Colombia']",FALSE
50,1110,17488,"Buildings in Calamar, Guaviare province - Colombia 1",EASY,LOW,100,99,PUBLISHED,2025-03-03 19:07:40,,['Colombia'],HOT,2024-09-02 11:54:38,55.289,40,Nicolelaine,2024-09-02 11:54:38,"Buildings in Calamar, Guaviare province - Colombia 1HOTNicolelaine['Colombia']",FALSE
63,1124,17564,"Missing Maps: North Rustico, Prince Edward Island",EASY,LOW,100,100,PUBLISHED,2025-01-18 10:05:27,,['Canada'],Canadian Red Cross,2024-09-09 16:59:30,7.064,55,Sophia Chen,2024-09-09 16:59:30,"Missing Maps: North Rustico, Prince Edward IslandCanadian Red CrossSophia Chen['Canada']",FALSE
73,1146,17660,"Buildings in San Ignacio Province, Peru 1",EASY,LOW,100,100,PUBLISHED,2025-03-03 20:47:59,,['Peru'],HOT,2024-09-24 13:25:39,47.725,108,Nicolelaine,2024-09-24 13:25:39,"Buildings in San Ignacio Province, Peru 1HOTNicolelaine['Peru']",FALSE
92,1169,17727,"Buildings in Caquetá Department, Colombia and Sucumbíos, Province, Ecuador",EASY,LOW,100,100,PUBLISHED,2025-03-03 21:07:49,,['Ecuador'],HOT,2024-10-02 11:40:01,19.813,7,Nicolelaine,2024-10-02 11:40:01,"Buildings in Caquetá Department, Colombia and Sucumbíos, Province, EcuadorHOTNicolelaine['Ecuador']",FALSE
93,1170,17728,"Buildings in Iquitos, Peru",EASY,LOW,100,100,PUBLISHED,2025-03-03 21:08:17,,['Peru'],HOT,2024-10-02 11:43:57,25.61,38,Nicolelaine,2024-10-02 11:43:57,"Buildings in Iquitos, PeruHOTNicolelaine['Peru']",FALSE
116,1209,17897,Buildings in Pastaza Province - Ecuador,EASY,LOW,100,100,PUBLISHED,2025-03-03 21:27:26,,['Ecuador'],HOT,2024-10-23 7:04:26,16.007,14,Nicolelaine,2024-10-23 7:04:26,Buildings in Pastaza Province - EcuadorHOTNicolelaine['Ecuador'],FALSE
130,1227,17979,Buildings in Orellana Province Province  - Ecuador 1.1,EASY,LOW,100,100,PUBLISHED,2025-03-13 1:00:52,,['Ecuador'],HOT,2024-11-05 9:37:07,67.675,41,Nicolelaine,2024-11-05 9:37:07,Buildings in Orellana Province Province  - Ecuador 1.1HOTNicolelaine['Ecuador'],FALSE
156,1382,9838,"Typhoon #ULYSSESPH Response -- SAN MATEO AND RODRIGUEZ (MONTALBAN), RIZAL",EASY,URGENT,100,100,ARCHIVED,2021-03-30 0:29:06,,['Philippines'],OSM Philippines,2020-11-12 12:03:08,184.281,2124,Feye Andal,2020-11-12 12:03:08,"Typhoon #ULYSSESPH Response -- SAN MATEO AND RODRIGUEZ (MONTALBAN), RIZALOSM PhilippinesFeye Andal['Philippines']",FALSE
157,1383,10431,Guinea: Ebola Outbreak,MODERATE,URGENT,100,100,ARCHIVED,2021-02-24 14:40:35,,['Guinea'],FreeLocalMappers,2021-02-21 12:51:04,17.789,56,Abdoulaye DIALLO,2021-02-21 12:51:04,Guinea: Ebola OutbreakFreeLocalMappersAbdoulaye DIALLO['Guinea'],FALSE
158,1384,10473,Acre Inundações / Floods 2021 - Cruzeiro do Sul,EASY,URGENT,100,100,ARCHIVED,2021-03-18 22:24:00,,['Brazil'],IGSD Warwick,2021-03-02 16:13:56,32.36,421,Vangelis Pitidis,2021-03-02 16:13:56,Acre Inundações / Floods 2021 - Cruzeiro do SulIGSD WarwickVangelis Pitidis['Brazil'],FALSE
167,1393,10869,United Nations for Somalia - MOGADISHU: buildings,EASY,URGENT,100,100,ARCHIVED,2021-05-12 12:26:34,2021-05-22 22:00:00,['Somaliland'],UN Mappers,2021-05-07 10:47:25,4.485,153,Michael Montani,2021-05-07 10:47:25,United Nations for Somalia - MOGADISHU: buildingsUN MappersMichael Montani['Somaliland'],FALSE
169,1395,10967,"Nyiragongo 2021, Rutshuru, DRC",MODERATE,URGENT,100,100,ARCHIVED,2021-06-07 22:41:12,,['Democratic Republic of the Congo'],OSM RDC,2021-05-27 21:34:03,17.788,49,clairedelune,2021-05-27 21:34:03,"Nyiragongo 2021, Rutshuru, DRCOSM RDCclairedelune['Democratic Republic of the Congo']",FALSE
171,1397,11666,"TS Megi/Agaton: Philippines COLLABDev Mapping for Data-Driven Development - Inopacan, Leyte",EASY,URGENT,100,100,ARCHIVED,2022-05-16 7:02:30,,['Philippines'],Action for Economic Reforms,2021-10-19 11:34:05,122.249,147,Mark Aimon Pangan,2021-10-19 11:34:05,"TS Megi/Agaton: Philippines COLLABDev Mapping for Data-Driven Development - Inopacan, LeyteAction for Economic ReformsMark Aimon Pangan['Philippines']",FALSE
172,1398,12017,"Hurricane Julia, Guatemala: Izabal - El Estor Sur",EASY,URGENT,100,100,ARCHIVED,2022-10-12 16:11:38,,['Guatemala'],HOT,2022-01-21 22:39:14,3.739,107,Sam Colchester,2022-01-21 22:39:14,"Hurricane Julia, Guatemala: Izabal - El Estor SurHOTSam Colchester['Guatemala']",FALSE
173,1399,12433,"OSM PH: TS Agaton Activation for Baybay City, Leyte",MODERATE,URGENT,100,100,ARCHIVED,2022-05-29 19:46:09,,['Philippines'],OSM Philippines,2022-04-13 4:03:03,403.865,477,Madaam,2022-04-13 4:03:03,"OSM PH: TS Agaton Activation for Baybay City, LeyteOSM PhilippinesMadaam['Philippines']",FALSE
174,1400,12506,Flooding in Malakal Upper Nile State - South Sudan,EASY,URGENT,100,100,ARCHIVED,2022-05-17 8:33:33,,['South Sudan'],OSM South Sudan,2022-04-25 20:08:11,222.487,371,Romeo RONALD  LOMORA,2022-04-25 20:08:11,Flooding in Malakal Upper Nile State - South SudanOSM South SudanRomeo RONALD  LOMORA['South Sudan'],FALSE
175,1401,12867,[Disaster Response] - Afghanistan Earthquake 2022,MODERATE,URGENT,100,100,ARCHIVED,2022-10-11 14:41:13,,['Afghanistan'],Open Mapping Hub Asia-Pacific,2022-06-23 15:03:02,4420.386,517,Harry Mahardhika Machmud,2022-06-23 15:03:02,[Disaster Response] - Afghanistan Earthquake 2022Open Mapping Hub Asia-PacificHarry Mahardhika Machmud['Afghanistan'],FALSE
177,1403,13112,Sélibabi city mapping project 2022,MODERATE,URGENT,100,100,ARCHIVED,2022-08-08 2:32:19,,['Mauritania'],OSM Mauritania,2022-08-01 13:22:53,2.751,27,Vetah MOHAMED EL MOCTAR,2022-08-01 13:22:53,Sélibabi city mapping project 2022OSM MauritaniaVetah MOHAMED EL MOCTAR['Mauritania'],FALSE
178,1404,13461,Ganyure Wagalla Ward Mapping for Disaster Resilience,EASY,URGENT,100,100,ARCHIVED,2022-10-11 17:14:04,2022-10-14 21:00:00,['Kenya'],Kenya Red Cross,2022-09-05 11:48:20,16.427,109,Boneya Hassan,2022-09-05 11:48:20,Ganyure Wagalla Ward Mapping for Disaster ResilienceKenya Red CrossBoneya Hassan['Kenya'],FALSE
180,1407,13593,Hurricane Fiona 2022·República Dominicana - Sábana de la Mar - Buildings,MODERATE,URGENT,100,100,ARCHIVED,2022-10-11 14:33:32,2022-10-31 6:00:00,['Dominican Republic'],HOT Disaster Services,2022-10-03 16:40:56,7.505,109,Céline Jacquin,2022-10-03 16:40:56,Hurricane Fiona 2022·República Dominicana - Sábana de la Mar - BuildingsHOT Disaster ServicesCéline Jacquin['Dominican Republic'],FALSE
183,1411,13642,"Floods in the Topa stream, in the Inzá municipality, Cauca ",MODERATE,URGENT,100,100,ARCHIVED,2022-11-07 21:50:08,2022-11-20 5:00:00,['Colombia'],Comunidad OSM Colombia,2022-10-21 1:11:13,141.692,57,Andres Gomez Casanova,2022-10-21 1:11:13,"Floods in the Topa stream, in the Inzá municipality, Cauca Comunidad OSM ColombiaAndres Gomez Casanova['Colombia']",FALSE
184,1412,13672,Uganda 2022 Ebola Outbreak - Kiyuni Subcounty Mubende District,MODERATE,URGENT,100,100,ARCHIVED,2022-10-28 9:36:51,2021-05-19 21:00:00,['Uganda'],MapUganda,2022-10-25 16:13:23,138.58,31,Awania  Morish,2022-10-25 16:13:23,Uganda 2022 Ebola Outbreak - Kiyuni Subcounty Mubende DistrictMapUgandaAwania  Morish['Uganda'],FALSE
185,1413,13680,"Disaster Response - Flash Flood, Jembrana District, Bali",EASY,URGENT,100,100,ARCHIVED,2022-11-22 11:37:26,,['Indonesia'],Open Mapping Hub Asia-Pacific,2022-10-27 10:08:48,297.612,604,Harry Mahardhika Machmud,2022-10-27 10:08:48,"Disaster Response - Flash Flood, Jembrana District, BaliOpen Mapping Hub Asia-PacificHarry Mahardhika Machmud['Indonesia']",FALSE
188,1416,14235,"M7.8 Earthquake Türkiye, Sanliurfa",MODERATE,URGENT,100,100,ARCHIVED,2023-04-08 8:18:08,,['Turkey'],Yer Cizenler,2023-02-08 10:20:46,3755.715,1745,Can Ünen,2023-02-08 10:20:46,"M7.8 Earthquake Türkiye, SanliurfaYer CizenlerCan Ünen['Turkey']",FALSE
189,1417,14245,"Missing Maps - Earthquake Syria, Afrin District",MODERATE,URGENT,100,100,ARCHIVED,2023-03-13 4:01:11,,['Syria'],Missing Maps,2023-02-10 2:20:43,1890.997,1131,Harry Mahardhika Machmud,2023-02-10 2:20:43,"Missing Maps - Earthquake Syria, Afrin DistrictMissing MapsHarry Mahardhika Machmud['Syria']",FALSE
192,1421,14392,Dire District 2 Borena Zone Drought Mapping,EASY,URGENT,100,100,ARCHIVED,2023-04-26 17:23:18,,['Ethiopia'],OSM Ethiopia,2023-03-03 15:07:58,22.802,423,Geoffrey Kateregga,2023-03-03 15:07:58,Dire District 2 Borena Zone Drought Mapping OSM EthiopiaGeoffrey Kateregga['Ethiopia'],FALSE
193,1422,14497,"Missing Maps: IDP camps, North Kivu, Democratic Republic of Congo",CHALLENGING,URGENT,100,100,ARCHIVED,2025-02-07 8:30:16,,['Democratic Republic of the Congo'],Médecins Sans Frontières (MSF),2023-03-29 9:56:28,1.55,9,Jorieke Vyncke,2023-03-29 9:56:28,"Missing Maps: IDP camps, North Kivu, Democratic Republic of CongoMédecins Sans Frontières (MSF) Jorieke Vyncke['Democratic Republic of the Congo']",FALSE
194,1423,14637,Building and Road Mapping in Kalurata District of Sri Lanka,EASY,URGENT,100,100,ARCHIVED,2023-10-30 9:01:48,2023-08-29 16:00:00,['Sri Lanka'],"Disaster Management Centre, Sri Lanka",2023-04-16 2:29:06,1646.535,3608,Sampath   Kukula Vithanage Don,2023-04-16 2:29:06,"Building and Road Mapping in Kalurata District of Sri LankaDisaster Management Centre, Sri LankaSampath   Kukula Vithanage Don['Sri Lanka']",FALSE
195,1424,14763,Mapping For Landslides and Flood Disaster Response in Rwanda,MODERATE,URGENT,100,100,ARCHIVED,2023-06-22 17:04:43,2023-12-02 22:00:00,['Rwanda'],"EcoMappers, OSM Rwanda",2023-05-03 13:32:47,179.849,348,Nyinawumuntu Jeannette,2023-05-03 13:32:47,"Mapping For Landslides and Flood Disaster Response in Rwanda EcoMappers, OSM RwandaNyinawumuntu Jeannette['Rwanda']",FALSE
196,1425,14791,Malawi - Remote Mapping of  Access Roads in Blantyre City,MODERATE,URGENT,100,100,ARCHIVED,2023-07-26 7:40:19,2023-06-08 22:00:00,['Malawi'],OSM Malawi,2023-05-09 12:12:00,236.288,505,Patrick Ken Kalonde,2023-05-09 12:12:00,Malawi - Remote Mapping of  Access Roads in Blantyre CityOSM MalawiPatrick Ken Kalonde['Malawi'],FALSE
197,1426,14858,Nyngatom District OMO Zone Food Security Mapping,EASY,URGENT,100,100,ARCHIVED,2023-09-23 10:30:27,,['Ethiopia'],OSM Ethiopia,2023-05-21 15:58:35,23.556,695,Binyam Dele,2023-05-21 15:58:35,Nyngatom District OMO Zone Food Security Mapping OSM EthiopiaBinyam Dele['Ethiopia'],FALSE
199,1428,14977,Ecuador: Floods - June 2023 Tonchigüe,MODERATE,URGENT,100,100,ARCHIVED,2023-07-07 22:21:38,2023-06-22 5:00:00,['Ecuador'],Open Mapping Hub for Latin America and the Caribbean,2023-06-15 13:22:49,71.234,61,Juan Carlos Melo Luna,2023-06-15 13:22:49,Ecuador: Floods - June 2023 TonchigüeOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Ecuador'],FALSE
202,1431,14992,"Missing Maps: Khartoum, Sudan - Khartoum city",MODERATE,URGENT,100,100,ARCHIVED,2024-02-19 13:10:03,,['Sudan'],Missing Maps,2023-06-22 15:09:22,26.571,31,Jorieke Vyncke,2023-06-22 15:09:22,"Missing Maps: Khartoum, Sudan - Khartoum cityMissing MapsJorieke Vyncke['Sudan']",FALSE
203,1432,15227,El Niño Mapping - Somalia Urban  3,MODERATE,URGENT,100,100,ARCHIVED,2023-08-21 8:48:44,,['Somalia'],Open Mapping Hub ESA,2023-07-24 13:39:15,2.222,9,Becky Candy,2023-07-24 13:39:15,El Niño Mapping - Somalia Urban  3Open Mapping Hub ESABecky Candy['Somalia'],FALSE
205,1434,15351,"Missing Maps: Khartoum, Sudan - North Khartoum",MODERATE,URGENT,100,100,ARCHIVED,2024-04-11 11:48:51,,['Sudan'],Missing Maps,2023-08-03 9:12:24,23.149,171,Sam Colchester,2023-08-03 9:12:24,"Missing Maps: Khartoum, Sudan - North KhartoumMissing MapsSam Colchester['Sudan']",FALSE
206,1435,15352,"Missing Maps: Omdurman, Sudan",MODERATE,URGENT,100,100,ARCHIVED,2024-01-24 19:38:41,,['Sudan'],Missing Maps,2023-08-03 9:15:12,24.735,294,Sam Colchester,2023-08-03 9:15:12,"Missing Maps: Omdurman, SudanMissing MapsSam Colchester['Sudan']",FALSE
207,1436,15384,Flood Preparedness and Response for Garsen Central Ward,MODERATE,URGENT,100,100,ARCHIVED,2023-09-04 7:17:27,2023-09-29 21:00:00,['Kenya'],Kenya Red Cross,2023-08-10 7:36:53,235.222,122,Boneya Hassan,2023-08-10 7:36:53,Flood Preparedness and Response for Garsen Central WardKenya Red CrossBoneya Hassan['Kenya'],FALSE
208,1437,15438,"Missing Maps: Ourang camp, Chad",EASY,URGENT,100,100,ARCHIVED,2025-01-22 9:51:29,,['Chad'],Médecins Sans Frontières (MSF),2023-08-29 7:49:09,5.174,5,Jorieke Vyncke,2023-08-29 7:49:09,"Missing Maps: Ourang camp, ChadMédecins Sans Frontières (MSF) Jorieke Vyncke['Chad']",FALSE
210,1439,15468,Morocco Earthquake (Project 1),MODERATE,URGENT,100,100,ARCHIVED,2023-09-13 9:38:42,2023-09-29 23:00:00,['Morocco'],OSM Morocco,2023-09-09 10:12:11,3655.101,988,fatima eddaoudi,2023-09-09 10:12:11,Morocco Earthquake (Project 1)OSM Moroccofatima eddaoudi['Morocco'],FALSE
213,1443,15493,Brazil - Flood in the Town of Muçum - (RS),MODERATE,URGENT,100,100,ARCHIVED,2023-09-20 7:01:04,,['Brazil'],Union of Brazilian Mappers of OSM (UMBRAOSM),2023-09-12 21:28:55,5.118,49,Umbraosm,2023-09-12 21:28:55,Brazil - Flood in the Town of Muçum - (RS)Union of Brazilian Mappers of OSM (UMBRAOSM)Umbraosm['Brazil'],FALSE
215,1445,15523,Flood in the town of Roca Sales (RS),EASY,URGENT,100,100,ARCHIVED,2023-09-23 10:33:54,2023-09-22 5:00:00,['Brazil'],Open Mapping Hub for Latin America and the Caribbean,2023-09-19 16:03:20,7.491,66,Juan Carlos Melo Luna,2023-09-19 16:03:20,Flood in the town of Roca Sales (RS)Open Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Brazil'],FALSE
216,1446,15527,Susah Buildings - Libya Floods 2023,MODERATE,URGENT,100,100,ARCHIVED,2023-09-27 7:12:08,,['Libya'],OSM Libya,2023-09-20 9:25:51,22.704,34,ABDURAHMAN AL FURJANI,2023-09-20 9:25:51,Susah Buildings - Libya Floods 2023OSM LibyaABDURAHMAN AL FURJANI['Libya'],FALSE
226,1456,15647,Sikkim Flood Mapping - Soreng District,MODERATE,URGENT,100,100,ARCHIVED,2025-01-14 14:41:44,2023-11-30 18:30:00,['India'],OSM India,2023-10-07 12:52:38,314.584,313,Pawan Muddu,2023-10-07 12:52:38,Sikkim Flood Mapping - Soreng DistrictOSM IndiaPawan Muddu['India'],FALSE
229,1459,15691,Earthquake Response in Vanuatu - Part 1,EASY,URGENT,100,100,ARCHIVED,2025-01-13 3:20:50,,['Vanuatu'],Open Mapping Hub Asia-Pacific,2023-10-17 14:04:33,4763.145,372,Honey Fombuena,2023-10-17 14:04:33,Earthquake Response in Vanuatu - Part 1Open Mapping Hub Asia-PacificHoney Fombuena['Vanuatu'],FALSE
230,1460,15745,Akosombo Dam Spillage-Flood Mapping [3] #Sogakope  #Sokpoe,MODERATE,URGENT,100,100,ARCHIVED,2023-11-13 8:00:18,,['Ghana'],OSM Ghana,2023-10-30 14:38:03,20.503,110,Stephen Mawutor Donkor,2023-10-30 14:38:03,Akosombo Dam Spillage-Flood Mapping [3] #Sogakope  #Sokpoe OSM GhanaStephen Mawutor Donkor['Ghana'],FALSE
232,1462,15797,MEXICO ACAPULCO RECOVERY FROM HURRICANE OTIS 2023 - DAMAGED BUILDINGS - (1),MODERATE,URGENT,100,100,ARCHIVED,2023-11-30 23:08:44,2023-11-30 5:00:00,['Mexico'],Open Mapping Hub for Latin America and the Caribbean,2023-11-13 18:45:37,1.168,165,Juan Carlos Melo Luna,2023-11-13 18:45:37,MEXICO ACAPULCO RECOVERY FROM HURRICANE OTIS 2023 - DAMAGED BUILDINGS - (1)Open Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Mexico'],FALSE
236,1466,15818,"Northern Samar, Philippines - November 2023 Floods",MODERATE,URGENT,100,100,ARCHIVED,2024-02-12 9:26:05,,['Philippines'],OSM Philippines,2023-11-23 4:55:44,225.417,340,Madaam,2023-11-23 4:55:44,"Northern Samar, Philippines - November 2023 FloodsOSM PhilippinesMadaam['Philippines']",FALSE
238,1469,15837,"Flood Response in Hanang District, Manyara-Tanzania 2023",EASY,URGENT,100,100,ARCHIVED,2023-12-18 7:17:59,2023-12-29 21:00:00,['Tanzania'],ROOTGIS,2023-12-05 7:39:37,268.347,252,KAWAMALA,2023-12-05 7:39:37,"Flood Response in Hanang District, Manyara-Tanzania 2023ROOTGISKAWAMALA['Tanzania']",FALSE
240,1471,15843,Chennai Floods -   Missing Roads Mapping,MODERATE,URGENT,100,100,ARCHIVED,2024-05-25 13:13:22,2023-12-29 18:30:00,['India'],OSM India,2023-12-06 5:40:45,194.97,565,Pawan Muddu,2023-12-06 5:40:45,Chennai Floods -   Missing Roads Mapping OSM IndiaPawan Muddu['India'],FALSE
250,1481,16178,DRC Congo River floods response,MODERATE,URGENT,100,100,ARCHIVED,2024-10-19 19:04:27,,['Democratic Republic of the Congo'],OSM RDC,2024-02-16 15:55:09,2193.752,1820,Muluba,2024-02-16 15:55:09,DRC Congo River floods responseOSM RDCMuluba['Democratic Republic of the Congo'],FALSE
251,1483,16298,Amazon mapping in Brazil to support community disaster risk management / Brazil - Acre - Xapuri,MODERATE,URGENT,100,100,ARCHIVED,2024-03-26 15:17:06,2024-03-29 3:00:00,['Brazil'],Open Mapping Hub for Latin America and the Caribbean,2024-03-06 20:09:33,2.55,80,Everton Bortolini,2024-03-06 20:09:33,Amazon mapping in Brazil to support community disaster risk management / Brazil - Acre - Xapuri Open Mapping Hub for Latin America and the CaribbeanEverton Bortolini['Brazil'],FALSE
253,1485,16481,"Missing Maps: Goma, DRCongo (7) Extension Shabindu",MODERATE,URGENT,100,100,ARCHIVED,2025-02-07 8:24:57,,['Democratic Republic of the Congo'],Médecins Sans Frontières (MSF),2024-03-28 14:30:44,0.395,11,Jorieke Vyncke,2024-03-28 14:30:44,"Missing Maps: Goma, DRCongo (7) Extension ShabinduMédecins Sans Frontières (MSF) Jorieke Vyncke['Democratic Republic of the Congo']",FALSE
255,1487,16507,2024 Hualien Earthquake Suhua Highway,MODERATE,URGENT,100,100,ARCHIVED,2024-05-28 7:10:00,,['Taiwan'],OSM Taiwan,2024-04-05 5:33:00,170.153,211,Supaplex,2024-04-05 5:33:00,2024 Hualien Earthquake Suhua HighwayOSM TaiwanSupaplex['Taiwan'],FALSE
257,1489,16566,NORTH BENGAL TORNADO MAPPING - JALPAIGURI,EASY,URGENT,100,100,ARCHIVED,2024-05-20 12:39:18,2024-05-30 18:30:00,['India'],OSM India,2024-04-13 8:53:48,96.681,205,ark Arjun,2024-04-13 8:53:48,NORTH BENGAL TORNADO MAPPING - JALPAIGURIOSM Indiaark Arjun['India'],FALSE
258,1490,16593,"EAST SEPIK, PAPUA NEW GUINEA - 2024 EARTHQUAKE - BUILDINGS (2)",EASY,URGENT,100,100,ARCHIVED,2025-02-11 6:15:00,,['Papua New Guinea'],Open Mapping Hub Asia-Pacific,2024-04-17 5:15:49,556.01,567,Harry Mahardhika Machmud,2024-04-17 5:15:49,"EAST SEPIK, PAPUA NEW GUINEA - 2024 EARTHQUAKE - BUILDINGS (2)Open Mapping Hub Asia-PacificHarry Mahardhika Machmud['Papua New Guinea']",FALSE
